,Unnamed: 0,time,open,high,low,close,Volume,Volume MA,avg_high_low,avg_open_close,avg_open_close_high_low,bid_price_from_open,bid_price_from_avg_open_close,bid_price_from_avg_high_low,bid_price_from_avg_open_close_high_low,ask_price_from_open,ask_price_from_avg_open_close,ask_price_from_avg_high_low,ask_price_from_avg_open_close_high_low
84,84,2021-01-21T09:14:33Z,27126.82,27143.15,27113.73,27143.15,0.018047,0.408243249999998,27128.44,27134.98,27131.71,27118.12,27126.28,27119.74,27123.01,27135.52,27143.68,27137.14,27140.41
85,85,2021-01-21T09:14:34Z,27155.8,27169.35,27155.8,27169.35,0.855576,0.449870749999998,27162.57,27162.57,27162.57,27147.1,27153.87,27153.87,27153.87,27164.5,27171.27,27171.27,27171.27
86,86,2021-01-21T09:14:35Z,27168.85,27171.95,27167.55,27171.95,0.010483,0.449794899999998,27169.75,27170.4,27170.08,27160.15,27161.7,27161.05,27161.38,27177.55,27179.1,27178.45,27178.78
87,87,2021-01-21T09:14:36Z,27172.35,27182.25,27172.35,27182.25,0.126381,0.455827799999998,27177.3,27177.3,27177.3,27163.65,27168.6,27168.6,27168.6,27181.05,27186.0,27186.0,27186.0
88,88,2021-01-21T09:14:37Z,27180.46,27184.41,27180.46,27184.41,0.80597,0.495865349999998,27182.44,27182.44,27182.44,27171.76,27173.74,27173.74,27173.74,27189.16,27191.14,27191.14,27191.14
89,89,2021-01-21T09:14:38Z,27184.38,27191.44,27169.21,27169.21,0.166486,0.4930275999999981,27180.32,27176.8,27178.56,27175.68,27168.1,27171.62,27169.86,27193.08,27185.5,27189.02,27187.26
90,90,2021-01-21T09:14:39Z,27169.0,27184.51,27169.0,27175.35,0.095438,0.4611108999999981,27176.75,27172.18,27174.46,27160.3,27163.48,27168.05,27165.76,27177.7,27180.88,27185.45,27183.16
91,91,2021-01-21T09:14:40Z,27171.76,27171.76,27150.57,27150.57,0.32000500000000004,0.4729061499999981,27161.16,27161.16,27161.16,27163.06,27152.46,27152.46,27152.46,27180.46,27169.86,27169.86,27169.86
92,92,2021-01-21T09:14:41Z,27165.6,27177.79,27165.49,27177.79,0.05718,0.4753762999999981,27171.64,27171.7,27171.67,27156.9,27163.0,27162.94,27162.97,27174.3,27180.4,27180.34,27180.37
93,93,2021-01-21T09:14:42Z,27165.85,27175.34,27165.85,27175.34,0.02167,0.3874772999999981,27170.6,27170.6,27170.6,27157.15,27161.9,27161.9,27161.9,27174.55,27179.3,27179.3,27179.3
94,94,2021-01-21T09:14:43Z,27168.54,27168.55,27160.0,27160.0,0.099965,0.3804548999999981,27164.28,27164.27,27164.27,27159.84,27155.57,27155.58,27155.57,27177.24,27172.97,27172.98,27172.97
95,95,2021-01-21T09:14:44Z,27178.48,27180.0,27169.14,27177.65,0.097583,0.3603704999999981,27174.57,27178.06,27176.32,27169.78,27169.36,27165.87,27167.62,27187.18,27186.76,27183.27,27185.02
96,96,2021-01-21T09:14:45Z,27178.65,27186.01,27178.65,27186.01,0.002727,0.3559931499999981,27182.33,27182.33,27182.33,27169.95,27173.63,27173.63,27173.63,27187.35,27191.03,27191.03,27191.03
97,97,2021-01-21T09:14:46Z,27168.85,27168.85,27167.53,27167.54,0.687758,0.3611961499999981,27168.19,27168.2,27168.19,27160.15,27159.5,27159.49,27159.49,27177.55,27176.9,27176.89,27176.89
98,98,2021-01-21T09:14:47Z,27167.53,27167.53,27165.1,27165.1,1.143972,0.4045319999999981,27166.32,27166.32,27166.32,27158.83,27157.62,27157.62,27157.62,27176.23,27175.02,27175.02,27175.02
99,99,2021-01-21T09:14:48Z,27165.1,27165.1,27150.36,27153.13,0.717541,0.4361280499999981,27157.73,27159.12,27158.42,27156.4,27150.42,27149.03,27149.72,27173.8,27167.82,27166.43,27167.12
100,100,2021-01-21T09:14:49Z,27163.44,27163.45,27142.7,27161.83,0.490674,0.3956690999999981,27153.08,27162.64,27157.86,27154.74,27153.94,27144.38,27149.16,27172.14,27171.34,27161.78,27166.56
101,101,2021-01-21T09:14:50Z,27169.03,27172.63,27169.03,27172.62,0.017603,0.3776771999999981,27170.83,27170.82,27170.83,27160.33,27162.12,27162.13,27162.13,27177.73,27179.52,27179.53,27179.53
102,102,2021-01-21T09:14:51Z,27172.62,27176.09,27172.62,27176.09,0.093381,0.3091839499999981,27174.36,27174.36,27174.36,27163.92,27165.66,27165.66,27165.66,27181.32,27183.06,27183.06,27183.06
103,103,2021-01-21T09:14:52Z,27180.52,27187.93,27166.1,27187.93,0.466826,0.3147632999999981,27177.02,27184.22,27180.62,27171.82,27175.52,27168.32,27171.92,27189.22,27192.92,27185.72,27189.32
104,104,2021-01-21T09:14:53Z,27188.45,27199.49,27178.45,27199.49,0.122265,0.3199741999999981,27188.97,27193.97,27191.47,27179.75,27185.27,27180.27,27182.77,27197.15,27202.67,27197.67,27200.17
105,105,2021-01-21T09:14:54Z,27191.45,27200.0,27180.63,27200.0,0.8786879999999999,0.3211297999999981,27190.32,27195.72,27193.02,27182.75,27187.02,27181.62,27184.32,27200.15,27204.42,27199.02,27201.72
